
loaded 55351626 Nodes and 112636224 Edges

Running Baseline
0       |51.229 |636.4  |79     |42408  |3.94753        |157    |(791.477,752.189)      |(181.947,862.617)      |176859 |176462 |167406 |11459
1       |0.017  |272.138        |2      |33     |0.575758       |1      |(181.947,862.617)      |(125.417,1128.82)      |25     |19     |18     |1
2       |98.677 |1520.43        |21     |74648  |4.36994        |184    |(125.417,1128.82)      |(1615.09,908.768)      |349816 |349523 |326206 |22361
3       |0.011  |231.704        |2      |18     |0.555556       |1      |(1615.09,908.768)      |(1492.08,712.413)      |14     |10     |9      |1
4       |0.753  |931.04 |4      |397    |1.6801 |7      |(1492.08,712.413)      |(590.012,942.823)      |722    |667    |666    |28
5       |0.424  |703.222        |3      |460    |3.30435        |12     |(590.012,942.823)      |(1286.67,847.028)      |1650   |1552   |1519   |64
6       |1534.57        |1520.54        |49     |1224196        |3.66971        |371    |(1286.67,847.028)      |(324.397,-255.366)     |4814544        |4811377       |4492447 |348054
7       |805.292        |970.386        |46     |614739 |3.67687        |508    |(324.397,-255.366)     |(892.487,496.031)      |2431588        |2428771        |2260313|176771
8       |129.611        |1048.94        |52     |94607  |4.71684        |424    |(892.487,496.031)      |(1721.65,354.977)      |467458 |466463 |446245 |25201
9       |3580.39        |1250.11        |167    |2570036        |4.00957        |2691   |(1721.65,354.977)      |(617.432,402.142)      |11088160       |11083595      |10304740       |737593

Running defaultPolyanya
10      |1142.21        |636.4  |79     |590152 |5.59028        |580    |(791.477,752.189)      |(181.947,862.617)      |1051653        |1043706        |3299114       |65522
11      |0.024  |272.138        |2      |37     |0.513514       |1      |(181.947,862.617)      |(125.417,1128.82)      |29     |14     |18     |1
12      |1770.95        |1520.43        |21     |404095 |14.6749        |1498   |(125.417,1128.82)      |(1615.09,908.768)      |1410093        |1390431        |5930056|49954
13      |0.017  |231.704        |2      |20     |0.5    |1      |(1615.09,908.768)      |(1492.08,712.413)      |19     |9      |9      |1
14      |0.815  |931.04 |4      |1782   |1.1807 |6      |(1492.08,712.413)      |(590.012,942.823)      |840    |711    |2103   |81
15      |0.859  |703.222        |3      |1039   |3.01829        |23     |(590.012,942.823)      |(1286.67,847.028)      |890    |687    |3135   |80
16      |80085  |1520.54        |49     |8654882        |23.8643        |20108  |(1286.67,847.028)      |(324.397,-255.366)     |63726045       |63540778       |206543080      |1161989
17      |37416.1        |970.386        |46     |4134557        |23.0601        |25465  |(324.397,-255.366)     |(892.487,496.031)      |30559313       |30385990      |95343265       |564678
18      |3621.72        |1048.94        |52     |1244819        |8.55004        |2425   |(892.487,496.031)      |(1721.65,354.977)      |3258213        |3229555       |10643249       |122006
19      |816722 |1250.11        |167    |15438345       |126.223        |158462 |(1721.65,354.977)      |(617.432,402.142)      |606713562      |606117966      |1948681692     |2070553


Running noDeadend
20      |452.781        |636.4  |79     |585061 |1.52938        |157    |(791.477,752.189)      |(181.947,862.617)      |923327 |922446 |894779 |64399
21      |0.024  |272.138        |2      |37     |0.513514       |1      |(181.947,862.617)      |(125.417,1128.82)      |34     |19     |18     |1
22      |274.542        |1520.43        |21     |394625 |1.83654        |184    |(125.417,1128.82)      |(1615.09,908.768)      |764618 |763904 |724745 |48554
23      |0.015  |231.704        |2      |20     |0.5    |1      |(1615.09,908.768)      |(1492.08,712.413)      |20     |10     |9      |1
24      |3.188  |931.04 |4      |1636   |1.02995        |7      |(1492.08,712.413)      |(590.012,942.823)      |1810   |1689   |1684   |81
25      |0.642  |703.222        |3      |941    |2.07014        |12     |(590.012,942.823)      |(1286.67,847.028)      |2168   |1992   |1947   |84
26      |6181.73        |1520.54        |49     |8591531        |1.65521        |371    |(1286.67,847.028)      |(324.397,-255.366)     |14849308       |14842108      |14220794       |1126521
27      |2874.94        |970.386        |46     |4083148        |1.60684        |508    |(324.397,-255.366)     |(892.487,496.031)      |6886346        |6879269       |6560970 |543331
28      |677.954        |1048.94        |52     |1224252        |1.43013        |424    |(892.487,496.031)      |(1721.65,354.977)      |1793105        |1791183       |1750841 |120945
29      |11156.9        |1250.11        |167    |15292565       |1.71038        |2691   |(1721.65,354.977)      |(617.432,402.142)      |27624300       |27617728      |26156081       |1962926

Running edgePruning
30      |128.425        |636.4  |79     |42263  |3.41313        |91     |(791.477,752.189)      |(181.947,862.617)      |148257 |147932 |144248 |11354
31      |0.025  |272.138        |2      |33     |0.575758       |1      |(181.947,862.617)      |(125.417,1128.82)      |25     |19     |18     |1
32      |259.425        |1520.43        |21     |74663  |3.69672        |95     |(125.417,1128.82)      |(1615.09,908.768)      |285803 |285588 |276007 |22285
33      |0.018  |231.704        |2      |18     |0.555556       |1      |(1615.09,908.768)      |(1492.08,712.413)      |14     |10     |9      |1
34      |6.699  |931.04 |4      |397    |1.65743        |7      |(1492.08,712.413)      |(590.012,942.823)      |709    |659    |657    |28
35      |1.23   |703.222        |3      |459    |3.15686        |9      |(590.012,942.823)      |(1286.67,847.028)      |1525   |1460   |1448   |63
36      |3659.55        |1520.54        |49     |1219203        |3.13467        |230    |(1286.67,847.028)      |(324.397,-255.366)     |3950459        |3948563       |3821798 |345536
37      |916.882        |970.386        |46     |328845 |3.02307        |215    |(324.397,-255.366)     |(892.487,496.031)      |1029643        |1028505        |994121|91240
38      |403.653        |1048.94        |52     |94664  |3.90895        |288    |(892.487,496.031)      |(1721.65,354.977)      |378461 |377935 |370036 |25091
39      |14150.4        |1250.11        |167    |2572015        |3.27513        |1904   |(1721.65,354.977)      |(617.432,402.142)      |8743349        |8740886       |8423677 |733769
